Entity,Code,Year,14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%) | ER_H2O_FWTL || Value | 006121 || percent,Share of fish stocks that are overexploited
Albania,ALB,2018,14.285710334777832,
Angola,AGO,2018,55.55556106567383,
Antigua and Barbuda,ATG,2018,100,
Australia,AUS,2018,75.4000015258789,
Belgium,BEL,2018,84.6153793334961,
Belize,BLZ,2018,100,
Bonaire Sint Eustatius and Saba,BES,2018,30.555559158325195,
Bulgaria,BGR,2018,16.666669845581055,
Canada,CAN,2018,100,
Cape Verde,CPV,2018,50,
Chile,CHL,2018,28,
Colombia,COL,2018,17.391300201416016,
Comoros,COM,2018,0,
Croatia,HRV,2018,20,
Cuba,CUB,2018,96.15384674072266,
Cyprus,CYP,2018,87.5,
Eastern Central Atlantic,,2015,,42.85714
Eastern Central Atlantic,,2017,,42.85714286
Eastern Central Pacific,,2015,,13.33333
Eastern Central Pacific,,2017,,13.33333333
Eastern Indian Ocean,,2015,,26.92308
Eastern Indian Ocean,,2017,,31.37254902
Estonia,EST,2018,87.5,
Finland,FIN,2018,80,
Gambia,GMB,2018,77.77777862548828,
Georgia,GEO,2018,100,
Guatemala,GTM,2018,0,
Indonesia,IDN,2018,23.529409408569336,
Iran,IRN,2018,100,
Ireland,IRL,2018,50,
Italy,ITA,2018,14.285710334777832,
Japan,JPN,2018,71.42857360839844,
Kazakhstan,KAZ,2018,85.18518829345703,
Kenya,KEN,2018,28.571430206298828,
Latvia,LVA,2018,100,
Lebanon,LBN,2018,0,
Malaysia,MYS,2018,47.3684196472168,
Marshall Islands,MHL,2018,100,
Mauritius,MUS,2018,100,
Mediterranean and Black Sea,,2015,,62.16216
Mediterranean and Black Sea,,2017,,62.5
Mozambique,MOZ,2018,37.5,
Myanmar,MMR,2018,0,
Namibia,NAM,2018,50,
New Zealand,NZL,2018,82.60870361328125,
Nicaragua,NIC,2018,77.77777862548828,
Northeast Central Atlantic,,2015,,26.53061
Northeast Central Atlantic,,2017,,20.68965517
Northeast Pacific,,2015,,14.28571
Northeast Pacific,,2017,,16.12903226
Northwest Central Atlantic,,2015,,26.08696
Northwest Central Atlantic,,2017,,43.75
Northwest Pacific,,2015,,17.30769
Northwest Pacific,,2017,,34.61538462
Pakistan,PAK,2018,0,
Philippines,PHL,2018,100,
Poland,POL,2018,60,
Portugal,PRT,2018,85.71428680419922,
Qatar,QAT,2018,74.35897064208984,
Romania,ROU,2018,100,
Saint Helena,SHN,2018,57.142860412597656,
Saudi Arabia,SAU,2018,100,
Seychelles,SYC,2018,30,
Slovenia,SVN,2018,0,
Southeast Central Atlantic,,2015,,32.35294
Southeast Central Atlantic,,2017,,32.35294118
Southeast Pacific,,2015,,61.53846
Southeast Pacific,,2017,,54.54545455
Southwest Atlantic,,2015,,58.82353
Southwest Atlantic,,2017,,53.33333333
Southwest Pacific,,2015,,25.92593
Southwest Pacific,,2017,,15.38461538
Spain,ESP,2018,72.7272720336914,
Sweden,SWE,2018,69.23076629638672,
Tanzania,TZA,2018,96,
Togo,TGO,2018,0,
Trinidad and Tobago,TTO,2018,31.25,
Tunisia,TUN,2018,44.44443893432617,
Turkey,TUR,2018,16.666669845581055,
Ukraine,UKR,2018,63.63636016845703,
United Kingdom,GBR,2017,59.63999938964844,
United Kingdom,GBR,2019,57.894737243652344,
United States,USA,2016,74,
Western Central Atlantic,,2015,,39.65517
Western Central Atlantic,,2017,,38.59649123
Western Central Pacific,,2015,,17.3913
Western Central Pacific,,2017,,22.44897959
Western Indian Ocean,,2015,,33.33333
Western Indian Ocean,,2017,,31.70731707
World,OWID_WRL,1974,90,10
World,OWID_WRL,1978,91.45999908447266,8.53658537
World,OWID_WRL,1979,86.9800033569336,13.01775148
World,OWID_WRL,1981,86.41999816894531,13.58024691
World,OWID_WRL,1983,83.33000183105469,16.66666667
World,OWID_WRL,1985,81.81999969482422,18.18181818
World,OWID_WRL,1987,75.68000030517578,24.32432432
World,OWID_WRL,1989,73.37000274658203,26.63043478
World,OWID_WRL,1990,81.87000274658203,18.13186813
World,OWID_WRL,1992,76.77999877929688,23.22274882
World,OWID_WRL,1995,74.31999969482422,25.67567568
World,OWID_WRL,1997,76.97000122070312,23.03370787
World,OWID_WRL,2000,72.79000091552734,27.20930233
World,OWID_WRL,2004,76.38999938964844,23.60515021
World,OWID_WRL,2006,72.37000274658203,27.62886598
World,OWID_WRL,2008,67.0199966430664,32.9787234
World,OWID_WRL,2009,69.55000305175781,30.44619423
World,OWID_WRL,2011,71.08000183105469,28.92156863
World,OWID_WRL,2013,68,32
World,OWID_WRL,2015,66.66999816894531,33.33333333
World,OWID_WRL,2017,65.8499984741211,34.1509434
Yemen,YEM,2018,100,